t target_x target_y bot_pos_x bot_pos_y bot_th Epos Etheta
0.000 4.000 0.000 4.000 0.000 0.000 0.000 0.000
0.100 3.920 0.399 4.000 0.000 0.000 0.407 -1.373
0.200 3.684 0.795 4.000 0.000 0.009 0.855 -1.201
0.300 3.301 1.182 3.999 -0.000 0.109 1.373 -1.146
0.400 2.787 1.558 4.002 0.000 0.186 1.975 -1.094
0.500 2.161 1.918 4.011 0.003 0.270 2.663 -1.073
0.600 1.449 2.259 4.025 0.007 0.297 3.422 -1.016
0.700 0.680 2.577 4.053 0.016 0.331 4.235 -0.981
0.800 -0.117 2.869 4.076 0.024 0.377 5.067 -0.973
0.900 -0.909 3.133 4.105 0.036 0.424 5.893 -0.977
1.000 -1.665 3.366 4.137 0.052 0.481 6.682 -1.000
1.100 -2.354 3.565 4.172 0.071 0.534 7.402 -1.026
1.200 -2.950 3.728 4.209 0.095 0.595 8.028 -1.065
1.300 -3.428 3.854 4.236 0.113 0.639 8.528 -1.093
1.400 -3.769 3.942 4.290 0.157 0.728 8.903 -1.167
1.500 -3.960 3.990 4.318 0.183 0.776 9.111 -1.207
1.600 -3.993 3.998 4.360 0.227 0.847 9.165 -1.271
1.700 -3.867 3.967 4.402 0.278 0.920 9.054 -1.339
1.800 -3.587 3.895 4.455 0.355 1.019 8.787 -1.434
1.900 -3.164 3.785 4.493 0.421 1.093 8.364 -1.507
2.000 -2.615 3.637 4.517 0.469 1.144 7.804 -1.562
2.100 -1.961 3.453 4.559 0.572 1.243 7.128 -1.659
2.200 -1.229 3.234 4.577 0.629 1.292 6.364 -1.713
2.300 -0.449 2.983 4.607 0.749 1.384 5.527 -1.800
2.400 0.350 2.702 4.618 0.814 1.427 4.667 -1.844
2.500 1.135 2.394 4.631 0.915 1.490 3.796 -1.890
2.600 1.874 2.062 4.637 1.018 1.595 2.953 -1.956
2.700 2.539 1.710 4.636 1.147 1.756 2.171 -2.018
2.800 3.102 1.340 4.629 1.235 1.872 1.530 -1.940
2.900 3.542 0.957 4.622 1.290 1.955 1.130 -1.656
3.000 3.841 0.564 4.604 1.388 2.125 1.123 -1.301
3.100 3.986 0.166 4.594 1.430 2.209 1.403 -1.086
3.200 3.973 -0.233 4.578 1.490 2.351 1.826 -1.118
3.300 3.801 -0.631 4.556 1.543 2.569 2.302 -1.333
3.400 3.478 -1.022 4.518 1.610 2.868 2.830 -1.673
3.500 3.016 -1.403 4.482 1.654 3.086 3.390 -1.962
3.600 2.433 -1.770 4.455 1.680 -3.047 3.999 -2.196
3.700 1.754 -2.119 4.397 1.723 -2.760 4.663 -2.555
3.800 1.005 -2.447 4.365 1.739 -2.640 5.368 -2.749
3.900 0.216 -2.751 4.318 1.755 -2.445 6.093 -3.006
4.000 -0.582 -3.027 4.271 1.766 -2.225 6.821 3.004
4.100 -1.357 -3.273 4.215 1.776 -1.891 7.519 2.627
4.200 -2.077 -3.486 4.188 1.781 -1.725 8.184 2.424
4.300 -2.715 -3.665 4.151 1.787 -1.477 8.768 2.148
4.400 -3.244 -3.806 4.123 1.796 -1.224 9.255 1.874
4.500 -3.645 -3.910 4.093 1.818 -0.906 9.627 1.543
4.600 -3.899 -3.975 4.070 1.841 -0.675 9.865 1.305
4.700 -3.999 -4.000 4.051 1.856 -0.504 9.955 1.133
4.800 -3.939 -3.985 4.019 1.877 -0.202 9.884 0.836
4.900 -3.722 -3.930 4.006 1.883 -0.092 9.670 0.737
5.000 -3.356 -3.836 3.986 1.890 0.118 9.311 0.544
5.100 -2.857 -3.703 3.980 1.892 0.253 8.834 0.433
5.200 -2.244 -3.534 3.975 1.893 0.471 8.254 0.246
5.300 -1.541 -3.329 3.973 1.893 0.684 7.594 0.074
5.400 -0.777 -3.091 3.975 1.896 1.002 6.889 -0.193
5.500 0.018 -2.822 3.979 1.904 1.222 6.166 -0.349
5.600 0.812 -2.525 3.982 1.912 1.349 5.453 -0.399
5.700 1.574 -2.203 3.984 1.935 1.615 4.789 -0.571
5.800 2.273 -1.858 3.982 1.950 1.734 4.174 -0.585
5.900 2.882 -1.496 3.976 1.975 1.912 3.640 -0.647
6.000 3.375 -1.118 3.964 2.004 2.086 3.177 -0.702
6.100 3.735 -0.729 3.937 2.043 2.330 2.779 -0.832
6.200 3.945 -0.332 3.909 2.072 2.521 2.404 -0.935
6.300 3.998 0.067 3.886 2.090 2.649 2.026 -1.023
