x1 y1 alpha1_deg x2 y2 alpha2_deg x3 y3 alpha3_deg robot_pos_x robot_pos_y robot_theta_deg landAB_derive_pos_x landAB_derive_pos_y landBC_derive_pos_x landBC_derive_pos_y landCA_derive_pos_x landCA_derive_pos_y
5.000 7.000 144.789 -5.000 7.000 -124.296 0.000 -7.000 26.988 -1.342 2.275 -108.265 -1.381 2.274 -1.419 2.246 -1.433 2.342
5.000 7.000 144.789 -5.000 7.000 -124.296 0.000 -7.000 26.988 -1.342 2.275 -108.265 -1.381 2.274 -1.419 2.246 -1.433 2.342
5.000 7.000 139.669 -5.000 7.000 -131.639 0.000 -7.000 22.679 -1.433 2.209 -102.693 -1.492 2.112 -1.591 2.038 -1.641 2.320
5.000 7.000 131.514 -5.000 7.000 -141.505 0.000 -7.000 14.778 -1.575 2.085 -93.987 -1.544 1.974 -1.689 1.862 -1.774 2.308
5.000 7.000 126.989 -5.000 7.000 -145.337 0.000 -7.000 10.737 -1.626 2.032 -90.632 -1.680 2.083 -1.626 2.123 -1.597 1.961
5.000 7.000 120.271 -5.000 7.000 -154.978 0.000 -7.000 3.634 -1.743 1.888 -83.199 -1.808 1.856 -1.653 1.974 -1.556 1.451
5.000 7.000 120.271 -5.000 7.000 -154.978 0.000 -7.000 3.634 -1.743 1.888 -83.199 -1.808 1.856 -1.653 1.974 -1.556 1.451
5.000 7.000 115.388 -5.000 7.000 -161.177 0.000 -7.000 0.259 -1.822 1.765 -77.989 -1.866 1.750 -1.898 1.726 -1.924 1.848
5.000 7.000 112.551 -5.000 7.000 -163.998 0.000 -7.000 -3.079 -1.872 1.669 -74.692 -1.790 1.722 -1.876 1.655 -1.946 1.980
5.000 7.000 109.042 -5.000 7.000 -170.052 0.000 -7.000 -6.938 -1.928 1.535 -70.957 -1.972 1.536 -1.851 1.631 -1.741 1.119
5.000 7.000 107.433 -5.000 7.000 -173.134 0.000 -7.000 -8.367 -1.968 1.397 -68.040 -1.887 1.344 -1.996 1.255 -2.120 1.766
5.000 7.000 107.433 -5.000 7.000 -173.134 0.000 -7.000 -8.367 -1.968 1.397 -68.040 -1.887 1.344 -1.996 1.255 -2.120 1.766
5.000 7.000 104.923 -5.000 7.000 -175.946 0.000 -7.000 -9.892 -1.995 1.255 -66.223 -2.028 1.370 -2.062 1.342 -2.105 1.517
5.000 7.000 103.922 -5.000 7.000 -179.506 0.000 -7.000 -12.971 -2.007 1.110 -63.500 -1.974 1.060 -1.945 1.084 -1.908 0.931
5.000 7.000 101.248 -5.000 7.000 176.532 0.000 -7.000 -14.849 -2.007 1.001 -60.225 -1.992 0.917 -2.088 0.833 -2.248 1.434
5.000 7.000 95.786 -5.000 7.000 170.982 0.000 -7.000 -21.707 -1.996 0.855 -54.610 -1.975 0.899 -1.932 0.937 -1.873 0.692
5.000 7.000 95.786 -5.000 7.000 170.982 0.000 -7.000 -21.707 -1.996 0.855 -54.610 -1.975 0.899 -1.932 0.937 -1.873 0.692
5.000 7.000 91.888 -5.000 7.000 165.734 0.000 -7.000 -25.419 -1.979 0.746 -49.836 -1.954 0.727 -2.018 0.669 -2.128 1.084
5.000 7.000 84.454 -5.000 7.000 155.721 0.000 -7.000 -34.795 -1.936 0.563 -40.947 -1.954 0.399 -1.895 0.456 -1.790 0.046
5.000 7.000 79.476 -5.000 7.000 150.934 0.000 -7.000 -40.338 -1.900 0.455 -35.474 -1.850 0.384 -1.864 0.371 -1.886 0.459
5.000 7.000 73.361 -5.000 7.000 143.416 0.000 -7.000 -47.906 -1.841 0.315 -28.097 -1.768 0.169 -1.783 0.154 -1.808 0.253
5.000 7.000 73.361 -5.000 7.000 143.416 0.000 -7.000 -47.906 -1.841 0.315 -28.097 -1.768 0.169 -1.783 0.154 -1.808 0.253
5.000 7.000 66.470 -5.000 7.000 135.936 0.000 -7.000 -55.622 -1.770 0.181 -20.645 -1.728 0.075 -1.729 0.075 -1.730 0.079
5.000 7.000 61.209 -5.000 7.000 130.549 0.000 -7.000 -60.596 -1.709 0.085 -15.110 -1.692 0.046 -1.774 -0.039 -1.914 0.513
5.000 7.000 54.557 -5.000 7.000 123.754 0.000 -7.000 -69.127 -1.618 -0.036 -8.111 -1.645 0.011 -1.599 0.059 -1.537 -0.214
5.000 7.000 49.815 -5.000 7.000 118.018 0.000 -7.000 -75.703 -1.518 -0.146 -1.674 -1.441 -0.188 -1.508 -0.264 -1.595 0.125
5.000 7.000 49.815 -5.000 7.000 118.018 0.000 -7.000 -75.703 -1.518 -0.146 -1.674 -1.441 -0.188 -1.508 -0.264 -1.595 0.125
5.000 7.000 44.632 -5.000 7.000 110.874 0.000 -7.000 -82.570 -1.409 -0.245 4.369 -1.484 -0.459 -1.389 -0.350 -1.273 -0.905
5.000 7.000 39.165 -5.000 7.000 107.502 0.000 -7.000 -89.067 -1.291 -0.332 9.637 -1.307 -0.205 -1.275 -0.168 -1.246 -0.324
5.000 7.000 37.283 -5.000 7.000 104.612 0.000 -7.000 -93.023 -1.199 -0.389 13.049 -1.127 -0.389 -1.162 -0.430 -1.190 -0.269
5.000 7.000 32.763 -5.000 7.000 99.758 0.000 -7.000 -98.858 -1.038 -0.466 17.856 -1.108 -0.441 -1.050 -0.370 -1.009 -0.630
5.000 7.000 32.763 -5.000 7.000 99.758 0.000 -7.000 -98.858 -1.038 -0.466 17.856 -1.108 -0.441 -1.050 -0.370 -1.009 -0.630
5.000 7.000 32.734 -5.000 7.000 98.710 0.000 -7.000 -101.700 -0.971 -0.491 19.371 -0.933 -0.623 -0.870 -0.541 -0.834 -0.809
5.000 7.000 29.406 -5.000 7.000 97.064 0.000 -7.000 -105.049 -0.799 -0.537 22.069 -0.882 -0.388 -0.823 -0.314 -0.795 -0.545
5.000 7.000 29.521 -5.000 7.000 96.225 0.000 -7.000 -105.391 -0.729 -0.549 22.852 -0.809 -0.536 -0.841 -0.577 -0.858 -0.449
5.000 7.000 27.457 -5.000 7.000 94.253 0.000 -7.000 -110.939 -0.549 -0.563 26.022 -0.592 -0.551 -0.576 -0.529 -0.570 -0.588
5.000 7.000 27.457 -5.000 7.000 94.253 0.000 -7.000 -110.939 -0.549 -0.563 26.022 -0.592 -0.551 -0.576 -0.529 -0.570 -0.588
5.000 7.000 23.367 -5.000 7.000 90.297 0.000 -7.000 -117.395 -0.406 -0.560 30.638 -0.479 -0.543 -0.374 -0.398 -0.354 -0.752
5.000 7.000 19.784 -5.000 7.000 87.784 0.000 -7.000 -123.073 -0.298 -0.549 35.211 -0.189 -0.410 -0.243 -0.487 -0.249 -0.317
5.000 7.000 11.818 -5.000 7.000 79.546 0.000 -7.000 -133.204 -0.116 -0.516 43.906 -0.078 -0.450 -0.080 -0.454 -0.080 -0.446
5.000 7.000 5.074 -5.000 7.000 72.535 0.000 -7.000 -140.436 0.028 -0.474 51.223 0.005 -0.489 -0.088 -0.628 -0.091 -0.344
5.000 7.000 5.074 -5.000 7.000 72.535 0.000 -7.000 -140.436 0.028 -0.474 51.223 0.005 -0.489 -0.088 -0.628 -0.091 -0.344
5.000 7.000 -0.384 -5.000 7.000 67.877 0.000 -7.000 -148.460 0.134 -0.435 56.970 0.135 -0.375 0.174 -0.316 0.171 -0.427
5.000 7.000 -7.173 -5.000 7.000 59.766 0.000 -7.000 -156.975 0.272 -0.371 64.824 0.213 -0.559 0.244 -0.509 0.240 -0.599
