x1 y1 alpha1_deg x2 y2 alpha2_deg x3 y3 alpha3_deg robot_pos_x robot_pos_y robot_theta_deg derived_pos_x derived_pos_y
5.000 7.000 62.474 -5.000 7.000 133.846 0.000 -7.000 -63.661 -1.365 0.200 -15.884 -1.363 0.217
5.000 7.000 56.308 -5.000 7.000 126.348 0.000 -7.000 -70.477 -1.278 0.079 -8.750 -1.349 0.038
5.000 7.000 56.308 -5.000 7.000 126.348 0.000 -7.000 -70.477 -1.278 0.079 -8.750 -1.349 0.038
5.000 7.000 50.416 -5.000 7.000 120.707 0.000 -7.000 -78.429 -1.180 -0.034 -1.922 -1.185 0.032
5.000 7.000 46.448 -5.000 7.000 116.225 0.000 -7.000 -83.678 -1.101 -0.111 2.862 -1.102 -0.055
5.000 7.000 41.708 -5.000 7.000 110.880 0.000 -7.000 -91.056 -0.990 -0.202 8.542 -0.922 -0.172
5.000 7.000 37.962 -5.000 7.000 106.772 0.000 -7.000 -94.069 -0.901 -0.263 12.368 -0.986 -0.209
5.000 7.000 37.962 -5.000 7.000 106.772 0.000 -7.000 -94.069 -0.901 -0.263 12.368 -0.986 -0.209
5.000 7.000 33.522 -5.000 7.000 101.130 0.000 -7.000 -102.538 -0.745 -0.347 17.836 -0.725 -0.419
5.000 7.000 31.935 -5.000 7.000 100.388 0.000 -7.000 -105.147 -0.615 -0.398 21.029 -0.626 -0.313
5.000 7.000 30.437 -5.000 7.000 98.059 0.000 -7.000 -108.875 -0.515 -0.426 22.887 -0.490 -0.444
5.000 7.000 29.242 -5.000 7.000 97.755 0.000 -7.000 -111.237 -0.378 -0.452 24.634 -0.378 -0.328
5.000 7.000 29.242 -5.000 7.000 97.755 0.000 -7.000 -111.237 -0.378 -0.452 24.634 -0.378 -0.328
5.000 7.000 28.773 -5.000 7.000 97.049 0.000 -7.000 -113.226 -0.272 -0.461 25.384 -0.277 -0.367
5.000 7.000 26.273 -5.000 7.000 94.293 0.000 -7.000 -118.563 -0.096 -0.460 29.073 -0.082 -0.409
5.000 7.000 22.318 -5.000 7.000 90.275 0.000 -7.000 -123.531 0.011 -0.450 32.994 -0.012 -0.419
5.000 7.000 18.148 -5.000 7.000 85.728 0.000 -7.000 -130.058 0.153 -0.426 39.288 0.142 -0.470
5.000 7.000 18.148 -5.000 7.000 85.728 0.000 -7.000 -130.058 0.153 -0.426 39.288 0.142 -0.470
5.000 7.000 11.487 -5.000 7.000 79.603 0.000 -7.000 -138.197 0.296 -0.389 46.205 0.268 -0.390
5.000 7.000 6.953 -5.000 7.000 73.646 0.000 -7.000 -144.647 0.402 -0.353 51.648 0.349 -0.587
5.000 7.000 -0.898 -5.000 7.000 68.604 0.000 -7.000 -153.016 0.540 -0.293 59.275 0.499 -0.184
5.000 7.000 -5.752 -5.000 7.000 63.127 0.000 -7.000 -160.465 0.640 -0.241 64.924 0.662 -0.250
5.000 7.000 -5.752 -5.000 7.000 63.127 0.000 -7.000 -160.465 0.640 -0.241 64.924 0.662 -0.250
5.000 7.000 -14.292 -5.000 7.000 54.447 0.000 -7.000 -170.598 0.799 -0.138 74.228 0.773 -0.255
5.000 7.000 -19.525 -5.000 7.000 49.854 0.000 -7.000 -176.821 0.889 -0.069 79.651 0.874 -0.152
5.000 7.000 -26.344 -5.000 7.000 43.953 0.000 -7.000 175.546 0.999 0.033 86.483 0.977 -0.011
5.000 7.000 -30.814 -5.000 7.000 39.919 0.000 -7.000 170.273 1.074 0.116 91.266 1.058 0.062
5.000 7.000 -30.814 -5.000 7.000 39.919 0.000 -7.000 170.273 1.074 0.116 91.266 1.058 0.062
5.000 7.000 -38.214 -5.000 7.000 34.669 0.000 -7.000 162.270 1.186 0.264 98.253 1.206 0.369
5.000 7.000 -40.656 -5.000 7.000 31.463 0.000 -7.000 158.402 1.243 0.358 101.930 1.280 0.291
5.000 7.000 -46.380 -5.000 7.000 27.491 0.000 -7.000 152.933 1.307 0.489 106.152 1.345 0.526
5.000 7.000 -49.206 -5.000 7.000 25.094 0.000 -7.000 149.649 1.358 0.625 109.565 1.402 0.594
5.000 7.000 -49.206 -5.000 7.000 25.094 0.000 -7.000 149.649 1.358 0.625 109.565 1.402 0.594
5.000 7.000 -51.616 -5.000 7.000 23.259 0.000 -7.000 148.264 1.386 0.730 111.503 1.349 0.648
5.000 7.000 -53.824 -5.000 7.000 22.264 0.000 -7.000 145.229 1.416 0.911 114.169 1.475 0.826
5.000 7.000 -57.844 -5.000 7.000 20.763 0.000 -7.000 144.513 1.421 0.984 116.033 1.332 1.069
5.000 7.000 -63.664 -5.000 7.000 16.016 0.000 -7.000 137.969 1.420 1.166 121.990 1.443 1.216
