t xp yp
0.000 4.000 0.000
0.100 3.920 0.399
0.200 3.684 0.795
0.300 3.301 1.182
0.400 2.787 1.558
0.500 2.161 1.918
0.600 1.449 2.259
0.700 0.680 2.577
0.800 -0.117 2.869
0.900 -0.909 3.133
1.000 -1.665 3.366
1.100 -2.354 3.565
1.200 -2.950 3.728
1.300 -3.428 3.854
1.400 -3.769 3.942
1.500 -3.960 3.990
1.600 -3.993 3.998
1.700 -3.867 3.967
1.800 -3.587 3.895
1.900 -3.164 3.785
2.000 -2.615 3.637
2.100 -1.961 3.453
2.200 -1.229 3.234
2.300 -0.449 2.983
2.400 0.350 2.702
2.500 1.135 2.394
2.600 1.874 2.062
2.700 2.539 1.710
2.800 3.102 1.340
2.900 3.542 0.957
3.000 3.841 0.564
3.100 3.986 0.166
3.200 3.973 -0.233
3.300 3.801 -0.631
3.400 3.478 -1.022
3.500 3.016 -1.403
3.600 2.433 -1.770
3.700 1.754 -2.119
3.800 1.005 -2.447
3.900 0.216 -2.751
4.000 -0.582 -3.027
4.100 -1.357 -3.273
4.200 -2.077 -3.486
4.300 -2.715 -3.665
4.400 -3.244 -3.806
4.500 -3.645 -3.910
4.600 -3.899 -3.975
4.700 -3.999 -4.000
4.800 -3.939 -3.985
4.900 -3.722 -3.930
5.000 -3.356 -3.836
5.100 -2.857 -3.703
5.200 -2.244 -3.534
5.300 -1.541 -3.329
5.400 -0.777 -3.091
5.500 0.018 -2.822
5.600 0.812 -2.525
5.700 1.574 -2.203
5.800 2.273 -1.858
5.900 2.882 -1.496
6.000 3.375 -1.118
6.100 3.735 -0.729
6.200 3.945 -0.332
6.300 3.998 0.067
